title,year,month,Zmiana względna,Zmiana bezwzględna
Magdalena Biejat,2025,5,"4,1448847774597555",200662
Barbara Nowacka,2023,12,"5,942269707191871",200565
Nicolás Maduro,2026,1,"4,600315406340507",200140
Filip (książę Edynburga),2020,11,"4,867328140114884",199571
Szymon Marciniak,2022,12,"5,352112955321895",199541
Jerzy III Hanowerski,2023,5,"5,809889058997451",199356
Powstanie warszawskie,2019,8,"5,18096700445149",199351
Mistrzostwa Europy w Piłce Nożnej 2020,2021,7,"3,4397824575336933",199106
Marek Hłasko,2021,1,"6,985723672154008",198395
Zdzisław Beksiński,2016,9,"8,271408108183634",198377
Kösem,2016,9,"4,323808047437185",198117
Chada,2018,3,"4,92975335191685",197949
Lech Wałęsa,2016,2,"6,859520666103166",197756
Mistrzostwa Europy w Piłce Nożnej 2020,2024,6,"3,4228356036583283",197723
Marta Nawrocka,2025,8,"4,550495306927106",197486
Lista laureatów Nagrody Nobla związanych z Polską,2019,10,"7,266362397631802",197378
Cristiano Ronaldo,2018,6,"4,193476603715275",196803
Grzegorz Braun,2025,4,"4,697323802785977",196614
YouTube,2023,9,"3,813179722752075",196364
YouTube,2024,2,"3,81008522565398",196148
Harry Potter,2015,8,"3,843810953392882",195516
David Beckham,2023,10,"7,800696354759264",195390
Powódź tysiąclecia,2024,9,"3,4079205235976384",195357
Mistrzostwa Europy w Piłce Nożnej 2016,2016,7,"2,64161541823263",195223
LGBT,2020,6,"4,961509884407849",195142
Szymon Hołownia,2020,5,"3,8673936750272624",194815
Fame MMA,2021,3,"4,6454193914481134",194784
Marilyn Monroe,2022,10,"9,497937847376882",194568
Iga Świątek,2023,6,"3,547835479987799",194427
Gwiezdne wojny,2017,12,"4,935749780583745",194379
Krzysztof Krawczyk,2020,12,"4,235845828651027",194066
Dominika Chorosińska,2023,11,"4,2169511678086975",194029
Alaksandr Łukaszenka,2020,8,"5,51263619150103",193837
Saga o wiedźminie,2019,12,"7,028008867128789",193418
Konkurs Piosenki Eurowizji 2022,2022,5,"5,0378676219201814",193264
Cristiano Ronaldo,2016,7,"4,11677250353394",192076
George H.W. Bush,2018,12,"6,186874887347941",190648
Ryszard Kotys,2021,1,"7,775638640158339",190504
Beata Szydło,2015,10,"5,732552426231717",190360
Kim Dzong Un,2020,4,"7,765266632363728",190141
Romuald Lipko,2020,2,"5,042220349660945",190082
Stanisława Celińska,2026,5,"6,4648127258914805",189909
Mistrzostwa Świata w Piłce Siatkowej Mężczyzn 2014,2018,9,"5,987892021848192",189592
Anna Przybylska,2022,10,"7,005194190358705",189116
YouTube,2023,7,"3,7087117929404614",189072
Thiago Cionek,2018,6,"3,6068112878021883",189063
Krzysztof Kiersznowski,2021,10,"3,780475960632887",188948
Franciszek (papież),2025,5,"5,531144122670617",188748
